term	valence	score	VADER-score	standard deviation	human raters
harsher	negative	-0,55	-2,2	0.6	[-2, -3, -2, -3, -2, -2, -1, -3, -2, -2]
harshest	negative	-0,725	-2,9	0.83066	[-4, -2, -2, -2, -2, -3, -3, -4, -4, -3]
hate	negative	-0,675	-2,7	1.00499	[-4, -3, -4, -4, -2, -2, -2, -2, -1, -3]
hated	negative	-0,8	-3,2	0.6	[-3, -3, -4, -3, -2, -3, -3, -4, -4, -3]
hateful	negative	-0,55	-2,2	1.249	[-3, 1, -3, -3, -1, -2, -2, -3, -3, -3]
hatefully	negative	-0,575	-2,3	0.78102	[-1, -3, -3, -3, -1, -2, -2, -2, -3, -3]
hatefulness	negative	-0,9	-3,6	0.4899	[-4, -4, -3, -3, -3, -4, -4, -4, -4, -3]
hater	negative	-0,45	-1,8	0.6	[-2, -1, -2, -2, -2, -1, -1, -2, -2, -3]
haters	negative	-0,55	-2,2	0.6	[-2, -1, -3, -2, -3, -2, -3, -2, -2, -2]
hates	negative	-0,475	-1,9	0.7	[-2, -1, -2, -2, -3, -1, -1, -2, -2, -3]
hating	negative	-0,575	-2,3	1.1	[-4, -3, -4, -1, -2, -2, -1, -2, -1, -3]
hatred	negative	-0,8	-3,2	0.9798	[-1, -3, -2, -4, -3, -3, -4, -4, -4, -4]
haunt	negative	-0,425	-1,7	1.00499	[-1, -1, -3, -1, -2, -2, -1, -4, -1, -1]
haunted	negative	-0,525	-2,1	0.7	[-2, -2, -1, -3, -3, -2, -2, -3, -1, -2]
haunting	negative	-0,275	-1,1	0.83066	[-3, 0, -2, -1, 0, -1, -1, -1, -1, -1]
haunts	negative	-0,25	-1	1.41421	[0, -2, -2, -2, -2, -1, 2, -2, 1, -2]
havoc	negative	-0,725	-2,9	0.7	[-2, -4, -4, -3, -2, -3, -3, -3, -2, -3]
healthy	positive	0,425	1,7	0.9	[1, 3, 1, 1, 3, 3, 1, 2, 1, 1]
heartbreak	negative	-0,675	-2,7	0.78102	[-1, -3, -3, -3, -2, -4, -2, -3, -3, -3]
heartbreaker	negative	-0,55	-2,2	1.07703	[-2, -3, 0, -3, -2, -1, -4, -3, -2, -2]
heartbreakers	negative	-0,525	-2,1	0.9434	[-3, -2, -3, -2, -1, -1, -4, -1, -2, -2]
heartbreaking	negative	-0,5	-2	1.73205	[-3, -1, -3, -3, -4, 2, -3, -2, 0, -3]
heartbreakingly	negative	-0,45	-1,8	2.08806	[-3, 3, 1, -3, -3, -2, -3, -3, -4, -1]
heartbreaks	negative	-0,45	-1,8	1.77764	[-2, 1, -3, -2, -3, -2, -3, 2, -4, -2]
heartbroken	negative	-0,825	-3,3	0.45826	[-4, -3, -3, -4, -3, -3, -4, -3, -3, -3]
heartfelt	positive	0,625	2,5	0.5	[3, 3, 2, 3, 2, 2, 3, 2, 2, 3]
heartless	negative	-0,55	-2,2	0.74833	[-2, -2, -2, -4, -2, -1, -2, -3, -2, -2]
heartlessly	negative	-0,7	-2,8	0.6	[-3, -2, -3, -3, -2, -3, -4, -2, -3, -3]
heartlessness	negative	-0,7	-2,8	0.87178	[-3, -3, -2, -3, -4, -4, -1, -3, -2, -3]
heartwarming	positive	0,525	2,1	1.22066	[3, 2, 3, 3, 2, 2, 3, 3, -1, 1]
heaven	positive	0,575	2,3	1.18743	[1, 1, 2, 4, 3, 3, 3, 4, 1, 1]
heavenlier	positive	0,75	3	0.63246	[3, 2, 3, 3, 4, 3, 3, 4, 2, 3]
heavenliest	positive	0,675	2,7	1.1	[3, 2, 3, 4, 2, 4, 3, 0, 3, 3]
heavenliness	positive	0,675	2,7	0.9	[3, 2, 1, 4, 3, 2, 3, 4, 3, 2]
heavenlinesses	positive	0,575	2,3	2.2383	[4, 4, 4, 3, -2, 3, 3, 4, -2, 2]
heavenly	positive	0,75	3	0.63246	[3, 3, 3, 3, 2, 3, 3, 4, 2, 4]
heavens	positive	0,425	1,7	1.18743	[4, 0, 1, 2, 0, 3, 2, 2, 2, 1]
heavenward	positive	0,35	1,4	1.35647	[0, 3, 0, 4, 1, 2, 2, 0, 2, 0]
heavenwards	positive	0,3	1,2	1.32665	[1, 4, 0, 0, 2, 1, 1, 0, 3, 0]
heavyhearted	negative	-0,525	-2,1	0.83066	[-2, -3, -3, -2, -3, -1, -1, -1, -2, -3]
heh	negative	-0,15	-0,6	1.28062	[0, 1, -1, 1, -1, -2, -1, -3, 1, -1]
hell	negative	-0,9	-3,6	0.66332	[-4, -4, -4, -4, -4, -2, -3, -4, -3, -4]
hellish	negative	-0,8	-3,2	0.74833	[-3, -3, -2, -2, -4, -3, -4, -4, -3, -4]
help	positive	0,425	1,7	0.78102	[3, 2, 1, 2, 1, 2, 3, 1, 1, 1]
helper	positive	0,35	1,4	0.8	[1, 1, 0, 1, 1, 2, 1, 2, 3, 2]
helpers	positive	0,275	1,1	0.83066	[1, 1, 0, 2, 1, 1, 1, 1, 3, 0]
helpful	positive	0,45	1,8	0.87178	[2, 1, 3, 1, 1, 3, 1, 2, 3, 1]
helpfully	positive	0,575	2,3	0.9	[1, 2, 2, 3, 2, 3, 3, 2, 4, 1]
helpfulness	positive	0,475	1,9	1.13578	[1, 4, 1, 2, 2, 1, 1, 2, 4, 1]
helping	positive	0,3	1,2	0.6	[2, 1, 1, 2, 0, 1, 1, 1, 2, 1]
helpless	negative	-0,5	-2	0.63246	[-2, -3, -2, -2, -2, -3, -1, -2, -1, -2]
helplessly	negative	-0,35	-1,4	0.4899	[-1, -1, -2, -2, -1, -1, -1, -2, -2, -1]
helplessness	negative	-0,525	-2,1	0.9434	[-2, -4, -1, -2, -1, -3, -3, -2, -1, -2]
helplessnesses	negative	-0,425	-1,7	0.64031	[-2, -1, -2, -1, -2, -1, -3, -2, -1, -2]
helps	positive	0,4	1,6	0.4899	[1, 1, 1, 2, 2, 2, 1, 2, 2, 2]
hero	positive	0,65	2,6	0.8	[2, 3, 2, 2, 4, 4, 2, 3, 2, 2]
heroes	positive	0,575	2,3	0.9	[3, 4, 3, 1, 3, 2, 1, 2, 2, 2]
heroic	positive	0,65	2,6	0.8	[3, 3, 1, 4, 2, 3, 2, 3, 2, 3]
heroical	positive	0,725	2,9	1.04403	[4, 4, 2, 4, 2, 3, 1, 4, 2, 3]
heroically	positive	0,6	2,4	0.8	[2, 2, 2, 3, 3, 3, 4, 1, 2, 2]
heroicomic	positive	0,25	1	1.0	[1, 0, 1, 0, 2, 0, 3, 1, 2, 0]
heroicomical	positive	0,275	1,1	0.83066	[2, 0, 0, 2, 1, 2, 1, 2, 1, 0]
heroics	positive	0,6	2,4	0.8	[2, 1, 2, 2, 2, 3, 3, 3, 4, 2]
heroin	negative	-0,55	-2,2	1.83303	[0, -2, -4, 2, -4, -2, -2, -3, -3, -4]
heroine	positive	0,675	2,7	1.1	[0, 2, 4, 4, 3, 3, 3, 3, 2, 3]
heroines	positive	0,45	1,8	1.32665	[2, 1, 1, 4, 3, 1, 0, 3, 3, 0]
heroinism	negative	-0,5	-2	2.0	[-3, -4, 2, -2, -4, -3, -2, -1, 1, -4]
heroism	positive	0,7	2,8	0.6	[3, 3, 4, 3, 2, 2, 3, 3, 2, 3]
heroisms	positive	0,55	2,2	0.87178	[3, 1, 2, 4, 3, 2, 2, 2, 1, 2]
heroize	positive	0,525	2,1	0.7	[3, 2, 3, 1, 2, 2, 2, 3, 1, 2]
heroized	positive	0,5	2	1.18322	[1, 0, 3, 3, 2, 0, 3, 3, 2, 3]
heroizes	positive	0,55	2,2	0.9798	[1, 3, 2, 3, 4, 3, 2, 1, 2, 1]
heroizing	positive	0,475	1,9	1.64012	[2, 3, -2, 2, 4, 3, 2, 2, 3, 0]
heron	positive	0,025	0,1	0.3	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
heronries	positive	0,175	0,7	1.1	[2, 0, 0, 0, 2, 0, 3, 0, 0, 0]
heronry	positive	0,025	0,1	0.9434	[0, 0, 0, 0, 0, 2, 0, 1, -2, 0]
herons	positive	0,125	0,5	1.0247	[0, 0, 0, 3, 0, 2, 0, 0, 0, 0]
heros	positive	0,325	1,3	1.18743	[3, 0, 0, 2, 0, 2, 2, 3, 1, 0]
hesitance	negative	-0,225	-0,9	0.3	[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1]
hesitancies	negative	-0,25	-1	0.63246	[-1, -1, -1, -2, -1, -1, -2, 0, 0, -1]
