term	valence	score	VADER-score	standard deviation	human raters
idk	negative	-0,1	-0,4	0.66332	[0, 0, 0, 0, -1, -2, 0, 0, 0, -1]
ijs	positive	0,175	0,7	1.84662	[0, -1, 0, -1, 0, 4, 0, 4, -1, 2]
ilu	positive	0,85	3,4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
iluaaf	positive	0,675	2,7	1.1	[3, 3, 3, 2, 3, 0, 4, 3, 2, 4]
ily	positive	0,85	3,4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
ily2	positive	0,65	2,6	0.66332	[3, 2, 3, 2, 3, 2, 3, 4, 2, 2]
iou	positive	0,175	0,7	1.34536	[0, 0, -1, 2, 0, 0, 0, 4, 1, 1]
iyq	positive	0,575	2,3	1.18743	[3, 3, 1, 1, 2, 1, 4, 4, 3, 1]
j/j	positive	0,5	2	1.34164	[4, 1, 1, 1, 1, 4, 4, 1, 2, 1]
j/k	positive	0,4	1,6	1.2	[1, 2, 1, 3, 0, 0, 2, 2, 1, 4]
j/p	positive	0,35	1,4	0.66332	[1, 1, 0, 2, 1, 2, 2, 2, 1, 2]
j/t	negative	-0,05	-0,2	1.46969	[1, -1, -1, -2, 1, 1, 2, -2, 1, -2]
j/w	positive	0,25	1	1.0	[1, 1, 1, 3, 0, 0, 0, 2, 0, 2]
j4f	positive	0,35	1,4	0.8	[2, 1, 1, 0, 3, 1, 1, 1, 2, 2]
j4g	positive	0,425	1,7	1.18743	[1, 4, 1, 1, 3, 1, 3, 0, 2, 1]
jho	positive	0,2	0,8	0.4	[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]
jhomf	positive	0,25	1	0.63246	[1, 1, 1, 0, 1, 0, 2, 2, 1, 1]
jj	positive	0,25	1	0.63246	[1, 1, 1, 1, 2, 0, 2, 1, 1, 0]
jk	positive	0,225	0,9	1.22066	[1, 0, 0, 1, 0, 0, 2, 1, 4, 0]
jp	positive	0,2	0,8	0.74833	[1, 1, 1, 0, 2, 0, 2, 0, 1, 0]
jt	positive	0,225	0,9	0.83066	[1, 1, 0, 2, 2, 0, 2, 0, 1, 0]
jw	positive	0,4	1,6	1.68523	[3, 0, 0, 0, 0, 0, 3, 4, 2, 4]
jealz	negative	-0,3	-1,2	0.9798	[-1, -1, -1, 1, -2, -2, -1, -3, -1, -1]
k4y	positive	0,575	2,3	1.00499	[2, 1, 1, 2, 4, 2, 3, 4, 2, 2]
kfy	positive	0,575	2,3	0.64031	[2, 2, 2, 1, 3, 2, 3, 3, 2, 3]
kia	negative	-0,8	-3,2	0.6	[-3, -3, -3, -4, -3, -2, -3, -3, -4, -4]
kk	positive	0,375	1,5	1.0247	[2, 1, 0, 0, 1, 2, 3, 3, 2, 1]
kmuf	positive	0,55	2,2	1.4	[2, 2, 2, 3, 4, 3, -1, 1, 4, 2]
l	positive	0,5	2	0.7746	[2, 1, 2, 3, 2, 3, 1, 3, 2, 1]
l&r	positive	0,55	2,2	0.74833	[3, 2, 2, 3, 1, 3, 1, 3, 2, 2]
laoj	positive	0,325	1,3	1.73494	[1, -2, -1, 3, 3, 2, 4, 1, 1, 1]
lmao	positive	0,5	2	1.18322	[3, 0, 3, 0, 3, 1, 3, 2, 3, 2]
lmbao	positive	0,45	1,8	1.77764	[3, 2, 2, 2, 1, 3, -3, 2, 4, 2]
lmfao	positive	0,625	2,5	1.28452	[3, 2, 3, 3, 3, -1, 4, 2, 3, 2]
lmso	positive	0,675	2,7	0.78102	[3, 3, 4, 3, 3, 1, 3, 3, 2, 2]
lol	positive	0,725	2,9	0.83066	[4, 2, 2, 2, 4, 2, 3, 3, 4, 3]
lolz	positive	0,675	2,7	0.78102	[2, 3, 3, 2, 2, 4, 4, 3, 2, 2]
lts	positive	0,4	1,6	0.66332	[1, 1, 2, 2, 1, 3, 1, 1, 2, 2]
ly	positive	0,65	2,6	0.91652	[2, 2, 1, 3, 4, 4, 3, 2, 2, 3]
ly4e	positive	0,675	2,7	0.78102	[3, 3, 3, 2, 1, 3, 3, 4, 2, 3]
lya	positive	0,825	3,3	0.78102	[3, 4, 4, 4, 2, 2, 3, 4, 3, 4]
lyb	positive	0,75	3	0.63246	[3, 3, 4, 3, 2, 3, 2, 4, 3, 3]
lyl	positive	0,775	3,1	0.7	[4, 3, 4, 3, 2, 3, 3, 2, 4, 3]
lylab	positive	0,675	2,7	0.78102	[3, 3, 3, 1, 3, 4, 2, 2, 3, 3]
lylas	positive	0,65	2,6	0.8	[3, 3, 3, 1, 3, 4, 2, 2, 2, 3]
lylb	positive	0,4	1,6	1.56205	[2, 2, 3, -2, 4, 1, 3, 1, 1, 1]
m8	positive	0,35	1,4	1.0198	[3, 0, 1, 0, 1, 3, 2, 2, 1, 1]
mia	negative	-0,3	-1,2	0.4	[-2, -1, -1, -2, -1, -1, -1, -1, -1, -1]
mml	positive	0,5	2	1.0	[1, 1, 2, 3, 3, 2, 1, 2, 4, 1]
mofo	negative	-0,6	-2,4	2.2	[-4, -4, -4, 0, -3, -2, -2, -4, 3, -4]
muah	positive	0,7	2,8	1.07703	[1, 2, 4, 4, 4, 2, 4, 2, 2, 3]
mubar	negative	-0,25	-1	2.36643	[-4, -2, -3, -2, -2, -2, 1, 4, 2, -2]
musm	positive	0,225	0,9	2.07123	[-1, 1, 1, 1, 4, 3, 1, -4, 1, 2]
mwah	positive	0,625	2,5	0.80623	[2, 2, 2, 4, 2, 3, 2, 2, 4, 2]
n1	positive	0,475	1,9	1.04403	[1, 1, 3, 2, 2, 3, 4, 1, 1, 1]
nbd	positive	0,325	1,3	1.34536	[2, 1, 0, 0, 0, 4, 2, 0, 3, 1]
nbif	negative	-0,125	-0,5	0.67082	[-1, -2, 0, 0, 0, 0, -1, -1, 0, 0]
nfc	negative	-0,675	-2,7	0.9	[-3, -2, -2, -3, -1, -2, -4, -3, -4, -3]
nfw	negative	-0,6	-2,4	1.0198	[-2, -2, -1, -3, -1, -2, -4, -3, -4, -2]
nh	positive	0,55	2,2	0.6	[2, 2, 2, 2, 1, 3, 3, 3, 2, 2]
nimby	negative	-0,2	-0,8	0.6	[0, 0, -1, 0, -1, -2, -1, -1, -1, -1]
nimjd	negative	-0,175	-0,7	0.78102	[0, -2, -1, -2, 0, -1, 0, 0, 0, -1]
nimq	negative	-0,05	-0,2	0.6	[0, 0, 0, 0, 0, 0, 0, 0, -2, 0]
nimy	negative	-0,35	-1,4	1.68523	[-1, -2, -3, -2, -1, 2, -3, 0, 0, -4]
nitl	negative	-0,375	-1,5	0.92195	[-1, -1, -2, -3, -1, -3, -1, -2, 0, -1]
nme	negative	-0,525	-2,1	1.13578	[-1, -2, -2, -1, -4, -2, -3, -3, 0, -3]
noyb	negative	-0,175	-0,7	1.67631	[-1, -2, 0, -1, -1, -2, -2, -1, 4, -1]
np	positive	0,35	1,4	1.0198	[0, 1, 1, 1, 1, 2, 2, 4, 1, 1]
ntmu	positive	0,35	1,4	0.66332	[1, 1, 0, 1, 2, 2, 2, 2, 2, 1]
o-8	negative	-0,125	-0,5	1.5	[2, -1, 0, 0, -2, -2, 0, -2, 2, -2]
o-:	negative	-0,075	-0,3	1.18743	[2, -1, 0, 0, -1, -2, 0, -2, 1, 0]
o-|	negative	-0,275	-1,1	0.53852	[-1, -1, -1, 0, -1, -1, -1, -2, -2, -1]
o.o	negative	-0,15	-0,6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
O.o	negative	-0,15	-0,6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
o.O	negative	-0,15	-0,6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
o:	negative	-0,05	-0,2	0.87178	[-1, 0, -1, -2, 0, 1, 0, 1, 0, 0]
o:)	positive	0,375	1,5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
o:-)	positive	0,5	2	1.18322	[1, 4, 1, 2, 4, 1, 1, 2, 3, 1]
o:-3	positive	0,55	2,2	0.9798	[1, 4, 2, 3, 3, 2, 1, 2, 3, 1]
o:3	positive	0,575	2,3	0.78102	[3, 3, 2, 2, 1, 2, 4, 2, 2, 2]
o:<	negative	-0,075	-0,3	1.1	[-1, -1, -2, 0, -1, 0, 1, 2, 0, -1]
o;^)	positive	0,4	1,6	0.8	[1, 2, 1, 2, 1, 2, 2, 0, 3, 2]
ok	positive	0,4	1,6	1.42829	[0, 0, 1, 1, 1, 4, 3, 4, 1, 1]
o_o	negative	-0,125	-0,5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
O_o	negative	-0,125	-0,5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
o_O	negative	-0,125	-0,5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
pita	negative	-0,6	-2,4	1.2	[-2, -1, -1, -4, -4, -2, -4, -2, -3, -1]
pls	positive	0,075	0,3	0.45826	[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]
plz	positive	0,075	0,3	0.45826	[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]
pmbi	positive	0,2	0,8	1.32665	[3, 0, 0, 1, 1, -2, 2, 2, 0, 1]
pmfji	positive	0,075	0,3	0.78102	[0, 0, 1, 0, 2, -1, 0, 1, 0, 0]
pmji	positive	0,175	0,7	1.00499	[1, 2, 0, -1, 0, 0, 2, 2, 1, 0]
po	negative	-0,65	-2,6	0.91652	[-2, -3, -4, -3, -3, -3, -1, -3, -1, -3]
ptl	positive	0,65	2,6	1.11355	[3, 4, 2, 4, 1, 2, 3, 1, 4, 2]
pu	negative	-0,275	-1,1	1.3	[-3, -1, -3, -2, -1, -1, -1, -1, 1, 1]
qq	negative	-0,55	-2,2	0.6	[-2, -2, -1, -3, -3, -2, -2, -3, -2, -2]
qt	positive	0,45	1,8	0.6	[2, 2, 1, 2, 1, 3, 2, 1, 2, 2]
r&r	positive	0,6	2,4	1.0198	[2, 4, 2, 3, 1, 4, 2, 2, 1, 3]
rofl	positive	0,675	2,7	0.78102	[3, 2, 2, 2, 4, 4, 2, 3, 3, 2]
roflmao	positive	0,625	2,5	1.11803	[4, 2, 2, 4, 1, 1, 2, 4, 3, 2]
rotfl	positive	0,65	2,6	0.66332	[3, 2, 3, 3, 1, 3, 3, 3, 2, 3]
rotflmao	positive	0,7	2,8	1.07703	[4, 3, 2, 4, 1, 1, 4, 3, 3, 3]
rotflmfao	positive	0,625	2,5	1.11803	[3, 4, 1, 3, 3, 3, 0, 3, 2, 3]
rotflol	positive	0,75	3	1.09545	[1, 4, 4, 4, 2, 2, 2, 3, 4, 4]
rotgl	positive	0,725	2,9	0.7	[4, 3, 2, 2, 3, 3, 3, 2, 4, 3]
rotglmao	positive	0,45	1,8	2.4	[3, 3, 4, 3, -1, 1, 4, -4, 2, 3]
s:	negative	-0,275	-1,1	0.83066	[-1, -1, -2, -2, -1, -1, -2, -1, 1, -1]
sapfu	negative	-0,275	-1,1	1.57797	[-2, 0, -3, -1, -1, 1, -2, 2, -2, -3]
sete	positive	0,7	2,8	0.87178	[3, 3, 3, 2, 3, 3, 4, 4, 1, 2]
sfete	positive	0,675	2,7	0.78102	[4, 3, 3, 3, 2, 4, 2, 2, 2, 2]
sgtm	positive	0,6	2,4	1.0198	[2, 1, 1, 2, 3, 3, 2, 2, 4, 4]
slap	positive	0,15	0,6	2.15407	[2, -1, 1, -1, 0, 4, -3, 4, 1, -1]
slaw	positive	0,525	2,1	1.04403	[3, 2, 0, 2, 2, 2, 3, 1, 4, 2]
smh	negative	-0,325	-1,3	0.64031	[-2, -1, 0, -1, -1, -2, -2, -1, -2, -1]
snafu	negative	-0,625	-2,5	1.11803	[-3, -4, -3, -3, -1, 0, -2, -3, -3, -3]
sob	negative	-0,7	-2,8	0.9798	[-3, -4, -3, -2, -2, -1, -2, -4, -4, -3]
swak	positive	0,575	2,3	1.00499	[2, 2, 2, 1, 4, 2, 3, 2, 1, 4]
tgif	positive	0,575	2,3	1.34536	[1, 3, 3, 3, -1, 2, 4, 2, 3, 3]
thks	positive	0,35	1,4	0.4899	[1, 2, 1, 2, 1, 2, 1, 1, 2, 1]
thx	positive	0,375	1,5	0.92195	[0, 1, 3, 2, 1, 2, 1, 1, 3, 1]
tia	positive	0,575	2,3	0.9	[3, 1, 2, 1, 4, 3, 2, 3, 2, 2]
tmi	negative	-0,075	-0,3	1.61555	[-1, -1, 2, -1, 1, -2, -2, -1, 3, -1]
tnx	positive	0,275	1,1	0.53852	[2, 1, 1, 0, 1, 1, 2, 1, 1, 1]
TRUE	positive	0,45	1,8	1.32665	[2, 1, 1, 0, 1, 4, 3, 1, 4, 1]
tx	positive	0,375	1,5	0.92195	[3, 2, 1, 0, 2, 1, 3, 1, 1, 1]
txs	positive	0,275	1,1	0.7	[1, 2, 0, 1, 2, 0, 1, 2, 1, 1]
ty	positive	0,4	1,6	0.66332	[1, 2, 3, 1, 2, 2, 1, 2, 1, 1]
tyvm	positive	0,625	2,5	1.11803	[2, 2, 1, 3, 1, 4, 2, 4, 2, 4]
urw	positive	0,475	1,9	1.13578	[1, 2, 1, 2, 4, 2, 4, 1, 1, 1]
vbg	positive	0,525	2,1	1.75784	[2, 3, 3, 3, 3, -3, 3, 2, 2, 3]
vbs	positive	0,775	3,1	0.53852	[2, 3, 3, 3, 4, 4, 3, 3, 3, 3]
vip	positive	0,575	2,3	1.00499	[2, 1, 1, 3, 4, 2, 2, 4, 2, 2]
vwd	positive	0,65	2,6	0.91652	[4, 2, 4, 2, 1, 3, 3, 2, 3, 2]
vwp	positive	0,525	2,1	0.7	[3, 1, 2, 2, 3, 2, 2, 3, 1, 2]
wag	negative	-0,05	-0,2	0.74833	[-1, 0, 0, 0, 0, 0, -2, 1, 0, 0]
wd	positive	0,675	2,7	1.1	[3, 1, 4, 3, 4, 2, 1, 3, 2, 4]
wilco	positive	0,225	0,9	0.9434	[1, 3, 1, 0, 1, 0, 2, 1, 0, 0]
wp	positive	0,25	1	0.0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
wtf	negative	-0,7	-2,8	0.74833	[-4, -3, -2, -3, -2, -2, -2, -4, -3, -3]
wtg	positive	0,525	2,1	0.7	[1, 3, 2, 3, 2, 2, 2, 1, 2, 3]
wth	negative	-0,6	-2,4	0.4899	[-2, -3, -2, -3, -2, -2, -2, -3, -3, -2]
x-d	positive	0,675	2,7	0.78102	[1, 3, 4, 2, 3, 3, 3, 2, 3, 3]
x-p	positive	0,45	1,8	0.87178	[2, 1, 3, 1, 3, 1, 3, 1, 2, 1]
xd	positive	0,675	2,7	0.9	[1, 4, 4, 3, 2, 2, 3, 3, 2, 3]
xlnt	positive	0,75	3	0.89443	[4, 3, 3, 1, 4, 4, 3, 3, 3, 2]
xoxo	positive	0,75	3	0.7746	[2, 2, 4, 2, 3, 3, 4, 3, 3, 4]
xoxozzz	positive	0,575	2,3	0.78102	[3, 1, 2, 2, 2, 2, 3, 2, 4, 2]
xp	positive	0,3	1,2	0.4	[1, 1, 1, 1, 2, 1, 2, 1, 1, 1]
xqzt	positive	0,4	1,6	1.42829	[0, 2, 1, 2, 4, -1, 3, 1, 1, 3]
xtc	positive	0,2	0,8	1.93907	[2, 0, -3, 3, 3, -1, 3, 1, -1, 1]
yolo	positive	0,275	1,1	0.83066	[0, 1, 1, 2, 1, 1, 1, 3, 0, 1]
yoyo	positive	0,1	0,4	1.85472	[-1, 0, -1, -1, 4, 2, -2, 2, 2, -1]
yvw	positive	0,4	1,6	0.4899	[1, 2, 1, 1, 2, 2, 2, 1, 2, 2]
yw	positive	0,45	1,8	1.32665	[1, 1, 1, 4, 1, 1, 4, 0, 3, 2]
ywia	positive	0,625	2,5	1.11803	[3, 2, 3, 4, 1, 1, 1, 3, 3, 4]
zzz	negative	-0,3	-1,2	0.87178	[0, -1, 0, -1, -3, -1, -1, -2, -2, -1]
[-;	positive	0,125	0,5	1.28452	[1, -1, -1, 1, 1, 1, 2, -2, 2, 1]
[:	positive	0,325	1,3	0.45826	[1, 1, 2, 1, 2, 2, 1, 1, 1, 1]
[;	positive	0,25	1	1.34164	[2, 1, 2, 2, 1, 2, 2, -2, -1, 1]
[=	positive	0,425	1,7	0.64031	[2, 2, 1, 1, 1, 2, 2, 3, 2, 1]
\-:	negative	-0,25	-1	1.18322	[-3, -1, -1, -1, -1, -1, 2, -2, -1, -1]
\:	negative	-0,25	-1	0.0	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
\:<	negative	-0,425	-1,7	1.18743	[-1, -3, -2, -2, -3, -3, -2, -1, 1, -1]
\=	negative	-0,275	-1,1	0.3	[-1, -1, -1, -1, -1, -1, -1, -2, -1, -1]
\^:	negative	-0,325	-1,3	0.45826	[-1, -1, -1, -2, -1, -1, -1, -2, -2, -1]
\o/	positive	0,55	2,2	0.9798	[2, 1, 1, 2, 4, 2, 2, 4, 2, 2]
\o:	negative	-0,3	-1,2	0.4	[-1, -1, -1, -1, -2, -1, -1, -2, -1, -1]
]-:	negative	-0,525	-2,1	0.53852	[-2, -3, -3, -2, -2, -2, -1, -2, -2, -2]
]:	negative	-0,4	-1,6	0.66332	[-1, -2, -1, -2, -3, -2, -1, -1, -1, -2]
]:<	negative	-0,625	-2,5	0.80623	[-2, -2, -2, -3, -4, -2, -2, -2, -2, -4]
^<_<	positive	0,35	1,4	1.11355	[3, 1, 3, 2, 1, 1, 1, -1, 2, 1]
^urs	negative	-0,7	-2,8	0.6	[-2, -3, -3, -2, -3, -3, -2, -3, -4, -3]
abandon	negative	-0,475	-1,9	0.53852	[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]
abandoned	negative	-0,5	-2	1.09545	[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]
abandoner	negative	-0,475	-1,9	0.83066	[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]
abandoners	negative	-0,475	-1,9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
abandoning	negative	-0,4	-1,6	0.8	[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]
abandonment	negative	-0,6	-2,4	1.0198	[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]
abandonments	negative	-0,425	-1,7	0.45826	[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]
abandons	negative	-0,325	-1,3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
abducted	negative	-0,575	-2,3	1.18743	[-3, -1, 0, -3, -1, -3, -4, -2, -3, -3]
abduction	negative	-0,7	-2,8	0.87178	[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]
abductions	negative	-0,5	-2	1.41421	[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]
abhor	negative	-0,5	-2	1.09545	[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]
abhorred	negative	-0,6	-2,4	1.49666	[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]
abhorrent	negative	-0,775	-3,1	1.3	[-4, -4, -4, -2, 0, -4, -2, -3, -4, -4]
abhors	negative	-0,725	-2,9	1.51327	[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]
abilities	positive	0,25	1	0.63246	[1, 2, 0, 1, 0, 1, 1, 1, 1, 2]
ability	positive	0,325	1,3	0.64031	[1, 1, 1, 0, 1, 2, 2, 2, 2, 1]
aboard	positive	0,025	0,1	0.3	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
absentee	negative	-0,275	-1,1	0.53852	[-1, -1, 0, -2, -1, -1, -2, -1, -1, -1]
absentees	negative	-0,2	-0,8	0.6	[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]
absolve	positive	0,3	1,2	1.46969	[2, -3, 2, 2, 1, 1, 2, 1, 2, 2]
absolved	positive	0,375	1,5	0.92195	[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]
absolves	positive	0,325	1,3	1.00499	[3, 1, 1, 0, 0, 2, 3, 1, 1, 1]
absolving	positive	0,4	1,6	0.8	[3, 1, 2, 1, 1, 2, 3, 1, 1, 1]
abuse	negative	-0,8	-3,2	0.6	[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]
abused	negative	-0,575	-2,3	0.64031	[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]
abuser	negative	-0,65	-2,6	0.4899	[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]
abusers	negative	-0,65	-2,6	1.0198	[-2, -3, -3, -3, -3, -2, -3, -4, -3, 0]
abuses	negative	-0,65	-2,6	0.66332	[-3, -2, -3, -3, -3, -3, -1, -2, -3, -3]
abusing	negative	-0,5	-2	1.41421	[-1, -2, -2, -4, -4, -2, -3, -1, 1, -2]
abusive	negative	-0,8	-3,2	0.74833	[-4, -3, -3, -4, -4, -3, -4, -2, -3, -2]
abusively	negative	-0,7	-2,8	0.6	[-3, -4, -3, -2, -3, -2, -2, -3, -3, -3]
abusiveness	negative	-0,625	-2,5	0.92195	[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]
abusivenesses	negative	-0,75	-3	0.63246	[-3, -3, -4, -3, -4, -2, -2, -3, -3, -3]
accept	positive	0,4	1,6	0.91652	[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]
acceptabilities	positive	0,4	1,6	0.66332	[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]
acceptability	positive	0,275	1,1	0.53852	[1, 0, 1, 2, 1, 2, 1, 1, 1, 1]
acceptable	positive	0,325	1,3	0.45826	[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]
acceptableness	positive	0,325	1,3	0.9	[1, 0, 2, 1, 2, 1, 1, 0, 2, 3]
acceptably	positive	0,375	1,5	0.67082	[3, 2, 1, 1, 1, 2, 1, 1, 2, 1]
acceptance	positive	0,5	2	0.63246	[3, 1, 3, 2, 1, 2, 2, 2, 2, 2]
acceptances	positive	0,425	1,7	0.78102	[3, 1, 1, 1, 2, 2, 1, 2, 3, 1]
acceptant	positive	0,4	1,6	0.8	[0, 1, 2, 2, 2, 1, 2, 1, 3, 2]
acceptation	positive	0,325	1,3	0.78102	[0, 1, 2, 1, 1, 1, 1, 3, 2, 1]
acceptations	positive	0,225	0,9	0.83066	[1, 2, 0, 2, 0, 1, 0, 2, 1, 0]
accepted	positive	0,275	1,1	0.3	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
accepting	positive	0,4	1,6	0.66332	[2, 2, 2, 1, 1, 2, 1, 3, 1, 1]
accepts	positive	0,325	1,3	0.45826	[1, 2, 1, 1, 1, 2, 2, 1, 1, 1]
accident	negative	-0,525	-2,1	0.83066	[-2, -2, -1, -3, -4, -2, -2, -1, -2, -2]
accidental	negative	-0,075	-0,3	0.45826	[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]
accidentally	negative	-0,35	-1,4	0.91652	[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]
accidents	negative	-0,325	-1,3	0.78102	[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]
accomplish	positive	0,45	1,8	0.6	[1, 2, 3, 2, 2, 2, 1, 1, 2, 2]
accomplished	positive	0,475	1,9	0.53852	[2, 2, 2, 1, 2, 2, 3, 1, 2, 2]
accomplishes	positive	0,425	1,7	0.9	[2, 2, 1, 0, 2, 3, 3, 1, 1, 2]
accusation	negative	-0,25	-1	1.09545	[-1, -1, -2, -2, -2, -1, -1, -1, 2, -1]
accusations	negative	-0,325	-1,3	1.26886	[-2, -2, -1, -3, -2, -1, -1, 2, -2, -1]
accuse	negative	-0,2	-0,8	1.53623	[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]
accused	negative	-0,3	-1,2	1.46969	[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]
accuses	negative	-0,35	-1,4	1.0198	[-2, -1, -2, 1, -2, -3, -1, -2, -1, -1]
accusing	negative	-0,175	-0,7	1.34536	[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]
ache	negative	-0,4	-1,6	1.2	[-1, -2, -2, -2, -1, -4, -1, 1, -2, -2]
ached	negative	-0,4	-1,6	0.8	[-2, -2, -1, -2, -1, -2, -3, 0, -1, -2]
aches	negative	-0,25	-1	0.7746	[-1, -2, -1, -1, -1, 1, -2, -1, -1, -1]
achievable	positive	0,325	1,3	0.45826	[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]
aching	negative	-0,55	-2,2	0.74833	[-2, -3, -2, -1, -3, -3, -2, -3, -1, -2]
acquit	positive	0,2	0,8	1.72047	[-3, 3, -1, 3, 2, 1, 1, 1, 0, 1]
acquits	positive	0,025	0,1	1.37477	[1, -3, -1, 0, 2, 0, -1, 1, 1, 1]
acquitted	positive	0,25	1	0.89443	[2, 2, 1, 1, 2, 0, 1, 1, -1, 1]
acquitting	positive	0,325	1,3	0.78102	[3, 2, 0, 1, 1, 1, 2, 1, 1, 1]
acrimonious	negative	-0,425	-1,7	1.73494	[-1, -3, -2, -3, 3, -3, -1, -2, -2, -3]
active	positive	0,425	1,7	1.26886	[1, 2, 1, 1, 1, 4, 2, 4, 0, 1]
actively	positive	0,325	1,3	0.78102	[0, 1, 0, 2, 2, 1, 1, 2, 2, 2]
activeness	positive	0,15	0,6	0.8	[0, 2, 0, 0, 1, 0, 1, 0, 2, 0]
activenesses	positive	0,2	0,8	0.74833	[2, 0, 1, 0, 0, 0, 1, 2, 1, 1]
actives	positive	0,275	1,1	0.7	[2, 1, 0, 1, 1, 0, 1, 1, 2, 2]
adequate	positive	0,225	0,9	0.7	[0, 0, 1, 1, 0, 2, 1, 1, 2, 1]
admirability	positive	0,6	2,4	0.4899	[2, 3, 3, 3, 3, 2, 2, 2, 2, 2]
admirable	positive	0,65	2,6	0.66332	[2, 3, 3, 3, 4, 3, 2, 2, 2, 2]
admirableness	positive	0,55	2,2	0.87178	[2, 2, 3, 3, 3, 1, 3, 1, 3, 1]
admirably	positive	0,625	2,5	0.67082	[2, 3, 3, 3, 4, 2, 2, 2, 2, 2]
admiral	positive	0,325	1,3	1.18743	[0, 0, 1, 3, 3, 2, 2, 0, 2, 0]
admirals	positive	0,375	1,5	0.80623	[2, 2, 0, 2, 2, 0, 1, 2, 2, 2]
admiralties	positive	0,4	1,6	0.66332	[2, 2, 2, 1, 0, 2, 2, 2, 1, 2]
admiralty	positive	0,3	1,2	1.53623	[0, 4, 0, 0, 0, 2, 2, 3, 2, -1]
admiration	positive	0,625	2,5	0.80623	[3, 1, 1, 3, 3, 2, 3, 3, 3, 3]
admirations	positive	0,4	1,6	0.66332	[2, 2, 1, 1, 2, 2, 2, 2, 2, 0]
admire	positive	0,525	2,1	0.83066	[3, 3, 1, 3, 3, 2, 1, 2, 1, 2]
admired	positive	0,575	2,3	0.78102	[4, 2, 2, 2, 2, 2, 3, 3, 1, 2]
admirer	positive	0,45	1,8	0.74833	[2, 1, 1, 2, 3, 2, 3, 1, 1, 2]
admirers	positive	0,425	1,7	1.00499	[2, 3, 2, 2, 2, 1, -1, 2, 2, 2]
admires	positive	0,375	1,5	0.67082	[3, 1, 1, 2, 1, 2, 2, 1, 1, 1]
admiring	positive	0,4	1,6	0.8	[1, 2, 1, 1, 3, 3, 2, 1, 1, 1]
admiringly	positive	0,575	2,3	0.64031	[1, 3, 3, 2, 2, 2, 2, 3, 3, 2]
admit	positive	0,2	0,8	1.07703	[0, 0, 0, 0, 0, 1, 3, 2, 2, 0]
admits	positive	0,3	1,2	0.87178	[1, 2, 2, 2, 0, 0, 1, 2, 0, 2]
admitted	positive	0,1	0,4	0.66332	[0, 1, 0, 1, 0, 0, 2, 0, 0, 0]
admonished	negative	-0,475	-1,9	0.9434	[-2, -2, -2, -1, -2, -3, -1, -1, -1, -4]
