term	valence	score	raw-score
stalker	negative	-0.6125	2.55
sting	negative	-0.6125	2.55
trafficking	negative	-0.6125	2.55
typhoid	negative	-0.6125	2.55
unhealthy	negative	-0.6125	2.55
unkind	negative	-0.6125	2.55
murderess	negative	-0.61	2.56
panic	negative	-0.61	2.56
smog	negative	-0.61	2.56
bummer	negative	-0.6075	2.57
confrontation	negative	-0.6075	2.57
difficulty	negative	-0.6075	2.57
disloyalty	negative	-0.6075	2.57
frustrating	negative	-0.6075	2.57
furious	negative	-0.6075	2.57
gory	negative	-0.6075	2.57
hypothermia	negative	-0.6075	2.57
inadequate	negative	-0.6075	2.57
jailhouse	negative	-0.6075	2.57
measles	negative	-0.6075	2.57
rudeness	negative	-0.6075	2.57
wretched	negative	-0.6075	2.57
abortion	negative	-0.605	2.58
annihilation	negative	-0.605	2.58
canker	negative	-0.605	2.58
deprivation	negative	-0.605	2.58
faceless	negative	-0.605	2.58
flu	negative	-0.605	2.58
frightening	negative	-0.605	2.58
horrendous	negative	-0.605	2.58
inconsiderate	negative	-0.605	2.58
jealousy	negative	-0.605	2.58
litter	negative	-0.605	2.58
painful	negative	-0.605	2.58
problematic	negative	-0.605	2.58
unpaid	negative	-0.605	2.58
blackmail	negative	-0.6025	2.59
defeated	negative	-0.6025	2.59
gangster	negative	-0.6025	2.59
loveless	negative	-0.6025	2.59
unpleasantness	negative	-0.6025	2.59
black snake	negative	-0.6	2.6
cavity	negative	-0.6	2.6
chauvinist	negative	-0.6	2.6
colonoscopy	negative	-0.6	2.6
deceitful	negative	-0.6	2.6
dickhead	negative	-0.6	2.6
dismal	negative	-0.6	2.6
dreadful	negative	-0.6	2.6
forgery	negative	-0.6	2.6
humiliate	negative	-0.6	2.6
lymphoma	negative	-0.6	2.6
miserable	negative	-0.6	2.6
paranoia	negative	-0.6	2.6
poop	negative	-0.6	2.6
rejection	negative	-0.6	2.6
staph	negative	-0.6	2.6
theft	negative	-0.6	2.6
threaten	negative	-0.6	2.6
bile	negative	-0.5975	2.61
jailer	negative	-0.5975	2.61
lawlessness	negative	-0.5975	2.61
mildew	negative	-0.5975	2.61
mumps	negative	-0.5975	2.61
violate	negative	-0.5975	2.61
waste	negative	-0.5975	2.61
argument	negative	-0.595	2.62
autopsy	negative	-0.595	2.62
condemn	negative	-0.595	2.62
coronary	negative	-0.595	2.62
degrade	negative	-0.595	2.62
demeaning	negative	-0.595	2.62
dictatorship	negative	-0.595	2.62
fake	negative	-0.595	2.62
filth	negative	-0.595	2.62
hypocrisy	negative	-0.595	2.62
insult	negative	-0.595	2.62
pox	negative	-0.595	2.62
psychopath	negative	-0.595	2.62
sadistic	negative	-0.595	2.62
saggy	negative	-0.595	2.62
shame	negative	-0.595	2.62
stench	negative	-0.595	2.62
stressful	negative	-0.595	2.62
suffocate	negative	-0.595	2.62
abandonment	negative	-0.5925	2.63
coffin	negative	-0.5925	2.63
deteriorating	negative	-0.5925	2.63
displease	negative	-0.5925	2.63
evict	negative	-0.5925	2.63
infectious	negative	-0.5925	2.63
infuriating	negative	-0.5925	2.63
irritating	negative	-0.5925	2.63
misfire	negative	-0.5925	2.63
sinister	negative	-0.5925	2.63
slag	negative	-0.5925	2.63
slay	negative	-0.5925	2.63
terrifying	negative	-0.5925	2.63
threat	negative	-0.5925	2.63
unrest	negative	-0.5925	2.63
vagrant	negative	-0.5925	2.63
vicious	negative	-0.5925	2.63
wicked	negative	-0.5925	2.63
depressive	negative	-0.59	2.64
subpoena	negative	-0.59	2.64
burial	negative	-0.5875	2.65
disappointed	negative	-0.5875	2.65
inhospitable	negative	-0.5875	2.65
pneumonia	negative	-0.5875	2.65
psychosis	negative	-0.5875	2.65
rot	negative	-0.5875	2.65
sob	negative	-0.5875	2.65
unappreciated	negative	-0.5875	2.65
danger	negative	-0.585	2.66
fearful	negative	-0.585	2.66
brat	negative	-0.5825	2.67
bully	negative	-0.5825	2.67
burglar	negative	-0.5825	2.67
cellulite	negative	-0.5825	2.67
crypt	negative	-0.5825	2.67
demolish	negative	-0.5825	2.67
destroy	negative	-0.5825	2.67
endanger	negative	-0.5825	2.67
enslave	negative	-0.5825	2.67
handicap	negative	-0.5825	2.67
hellish	negative	-0.5825	2.67
inmate	negative	-0.5825	2.67
insomnia	negative	-0.5825	2.67
lonely	negative	-0.5825	2.67
oppression	negative	-0.5825	2.67
overdose	negative	-0.5825	2.67
pest	negative	-0.5825	2.67
polio	negative	-0.5825	2.67
prisoner	negative	-0.5825	2.67
reprimand	negative	-0.5825	2.67
stockade	negative	-0.5825	2.67
unemployed	negative	-0.5825	2.67
untrustworthy	negative	-0.5825	2.67
wart	negative	-0.5825	2.67
accuse	negative	-0.58	2.68
agonizing	negative	-0.58	2.68
cholera	negative	-0.58	2.68
crack	negative	-0.58	2.68
defenseless	negative	-0.58	2.68
disadvantage	negative	-0.58	2.68
disgusted	negative	-0.58	2.68
disturbance	negative	-0.58	2.68
disturbing	negative	-0.58	2.68
fatso	negative	-0.58	2.68
germs	negative	-0.58	2.68
horrid	negative	-0.58	2.68
horrifying	negative	-0.58	2.68
illicit	negative	-0.58	2.68
impound	negative	-0.58	2.68
loathe	negative	-0.58	2.68
lowlife	negative	-0.58	2.68
malfunction	negative	-0.58	2.68
migraine	negative	-0.58	2.68
recession	negative	-0.58	2.68
slaughterhouse	negative	-0.58	2.68
smelly	negative	-0.58	2.68
smother	negative	-0.58	2.68
ungrateful	negative	-0.58	2.68
belittle	negative	-0.575	2.7
catastrophe	negative	-0.575	2.7
cyanide	negative	-0.575	2.7
degenerate	negative	-0.575	2.7
derogatory	negative	-0.575	2.7
disabled	negative	-0.575	2.7
epilepsy	negative	-0.575	2.7
ex	negative	-0.575	2.7
homophobic	negative	-0.575	2.7
insanity	negative	-0.575	2.7
napalm	negative	-0.575	2.7
negligence	negative	-0.575	2.7
prejudiced	negative	-0.575	2.7
treachery	negative	-0.575	2.7
ulcer	negative	-0.575	2.7
uncomfortable	negative	-0.575	2.7
unlucky	negative	-0.575	2.7
whore	negative	-0.575	2.7
wildfire	negative	-0.575	2.7
anorexic	negative	-0.5725	2.71
boring	negative	-0.5725	2.71
crippling	negative	-0.5725	2.71
disrespectful	negative	-0.5725	2.71
fussy	negative	-0.5725	2.71
gang	negative	-0.5725	2.71
mold	negative	-0.5725	2.71
pathological	negative	-0.5725	2.71
prejudice	negative	-0.5725	2.71
soulless	negative	-0.5725	2.71
straitjacket	negative	-0.5725	2.71
stupidity	negative	-0.5725	2.71
unprofessional	negative	-0.5725	2.71
unwanted	negative	-0.5725	2.71
violence	negative	-0.5725	2.71
wasp	negative	-0.5725	2.71
embarrassment	negative	-0.57	2.72
emergency	negative	-0.57	2.72
suppress	negative	-0.57	2.72
cruel	negative	-0.5675	2.73
deceased	negative	-0.5675	2.73
fury	negative	-0.5675	2.73
inconvenient	negative	-0.5675	2.73
morbid	negative	-0.5675	2.73
mutilated	negative	-0.5675	2.73
nauseating	negative	-0.5675	2.73
piss	negative	-0.5675	2.73
unlawful	negative	-0.5675	2.73
bedpan	negative	-0.565	2.74
deficiency	negative	-0.565	2.74
diabetes	negative	-0.565	2.74
extinct	negative	-0.565	2.74
fat	negative	-0.565	2.74
fugitive	negative	-0.565	2.74
heroin	negative	-0.565	2.74
hostage	negative	-0.565	2.74
insolent	negative	-0.565	2.74
malpractice	negative	-0.565	2.74
negativity	negative	-0.565	2.74
queasy	negative	-0.565	2.74
trash	negative	-0.565	2.74
troublesome	negative	-0.565	2.74
tuberculosis	negative	-0.565	2.74
unreliable	negative	-0.565	2.74
unromantic	negative	-0.565	2.74
battering	negative	-0.5625	2.75
bigot	negative	-0.5625	2.75
broken	negative	-0.5625	2.75
conceited	negative	-0.5625	2.75
discontent	negative	-0.5625	2.75
